Designator,Footprint,Quantity,Value,LCSC Part #
CS1-P43,TestPoint_Pad_1.0x1.0mm,1,TestPoint,
J1,USB4510031A,1,USB4510-03-1-A,
"J10, J17",PinHeader_1x06_P2.54mm_Vertical,2,Conn_01x06,
"J11, J18, J20, J21, J7, J9",PinHeader_1x04_P2.54mm_Vertical,6,Conn_01x04,
"J12, J15, J19",PinHeader_1x03_P2.54mm_Vertical,3,Conn_01x03,
"J13, J16, J2, J3, J4, J5",PinHeader_1x02_P2.54mm_Vertical,6,Conn_01x02,
"J14, J8",PinHeader_1x12_P2.54mm_Vertical,2,Conn_01x12,
J22,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05,
J23,PSoM_ESP32S2_00,1,PSoM_ESP32S2_Carrier_Board,
J6,532610371,1,53261-0371,
"R1, R2",0402,2,5k1,
"S1, S2",SKRPABE010,2,SKRPABE010,
SW1,450405020524,1,450405020524,
U1,SON127P600X500X80-9N-D,1,W25Q128JVPIQ_TR,
