Designator,Mid X,Mid Y,Rotation,Layer
J1,143.84,-54.35,180.0,top
J10,101.6,-120.65,180.0,top
J11,121.92,-123.19,180.0,top
J12,149.86,-74.32,270.0,top
J13,151.13,-88.9,270.0,top
J14,152.4,-107.949999,0.0,top
J15,149.86,-76.86,270.0,top
J16,151.13,-86.36,270.0,top
J17,91.44,-120.65,180.0,top
J18,111.9,-123.19,180.0,top
J19,149.86,-79.4,270.0,top
J2,94.31,-83.82,90.0,top
J20,132.08,-123.19,180.0,top
J21,137.16,-123.19,180.0,top
J22,127.0,-53.1,90.0,top
J23,123.52,-81.000001,180.0,top
J3,94.31,-78.74,90.0,top
J4,94.31,-73.66,90.0,top
J5,94.31,-68.58,90.0,top
J6,91.75,-92.1,270.0,top
J7,140.97,-62.200001,90.0,top
J8,149.86,-107.949999,0.0,top
J9,134.62,-123.19,180.0,top
R1,139.8,-59.700001,180.0,top
R2,147.4,-59.7,0.0,top
S1,103.5,-53.0,180.0,top
S2,112.5,-53.0,180.0,top
SW1,94.05,-99.475,270.0,top
U1,138.6,-88.0,90.0,top
