Designator,Footprint,Quantity,Value,LCSC Part #
ANT401,ANTC3216X140N,1,2450AT18A100E,
"C101, C402, C405",0201,3,100n,
"C201, C203",0603,2,4u7,
C202,0603,1,1u,
"C301, C302",0603,2,2u2,
C401,0603,1,10u,
"C403, C404",0201,2,C,
"D201, D202, D401",0402,3,LED,
J101,DF40C-60DP-0.4V(51),1,DF40C-60DP-0.4V(51),
L401,0201,1,L,
"R1, R2",0402,2,R,
R103,0201,1,220k,
R104,0201,1,470k,
R201,0402,1,0,
R202,0402,1,36k5,
R203,0402,1,590,
R204,0402,1,1k1,
"R205, R206",0402,2,1k5,
R207,0402,1,100k,
R301,0201,1,0k,
R401,0402,1,2k,
R402,0201,1,10k,
"R408, R409",0201,2,nu,
"SW401, SW402",B3U-1000P,2,SW_Push,
U201,QFN50P300X300X100-17N-D,1,BQ24075RGTR,
U301,SON40P120X120X60-7N-D,1,MIC5528-3.3YMT-T5,
U401,ESP32-PICO-D4_1,1,ESP32-PICO-D4,
