Designator,Mid X,Mid Y,Rotation,Layer
ANT401,3.6,-1.1,180.0,top
C101,16.6,-10.9,180.0,bottom
C201,19.31,-4.39,270.0,top
C202,16.46,-7.39,0.0,top
C203,13.05,-3.67,90.0,top
C301,8.343952,-5.556048,315.0,top
C302,5.798368,-8.101632,315.0,top
C401,6.9,-2.9,45.0,bottom
C402,6.4,-3.9,45.0,bottom
C403,8.5,-1.3,270.0,top
C404,10.3,-2.5,225.0,top
C405,7.3,-16.5,180.0,top
D201,15.0,-1.0,90.0,top
D202,14.0,-1.0,90.0,top
D401,13.0,-1.0,90.0,top
J101,10.0,-17.2,0.0,bottom
L401,9.6,-1.4,315.0,top
R1,16.0,-1.09,90.0,bottom
R103,16.6,-12.2,0.0,bottom
R104,16.6,-11.55,180.0,bottom
R2,17.0,-1.09,90.0,bottom
R201,17.305785,-9.121692,270.0,top
R202,16.3,-9.11,270.0,top
R203,18.66,-7.29,270.0,top
R204,14.6,-6.69,90.0,top
R205,15.0,-1.094999,90.0,bottom
R206,14.0,-1.094999,90.0,bottom
R207,18.0,-1.09,90.0,bottom
R301,9.87,-6.74,225.0,top
R401,13.0,-1.11,90.0,bottom
R402,7.3,-15.8,0.0,top
R408,8.855,-14.0,0.0,bottom
R409,3.6,-13.7,180.0,bottom
SW401,12.5,-17.0,90.0,top
SW402,9.674711,-17.0,90.0,top
U201,16.31,-4.39,180.0,top
U301,7.07116,-6.82884,45.0,top
U401,8.6,-8.343324,315.0,bottom
