Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C205, C414, C415",0402,4,1u,
"C202, C203, C204, L402",0603,4,10u,
"C206, L201, L202",0603,3,2u2,
"C207, C208",0402,2,10u,
"C401, C402",0201,2,12p,
C403,0201,1,0p8,
C404,0201,1,0p5,
"C405, C407, C408, C412, C461",0201,5,100n,
"C406, C420, C421",0603,3,4u7,
C409,0201,1,820p,
"C410, C413",0402,2,nc,
C411,0201,1,100p,
C416,0402,1,47n,
"D201, D202, D203",0402,3,LED,
J1,usb-c-pcb,1,Bare PCB USB C,
J101,DF40C-60DP-0.4V(51),1,DF40C-60DP-0.4V(51),
J2,u.fl,1,U.FL-R-SMT-1_40_,
"J401, J402",SolderWirePad_1x01_SMD_1x2mm,2,Conn_01x01_Pin,
L401,0201,1,4n7,
L403,0402,1,15n,
R203,0201,1,47k,
R204,0201,1,470k,
"R205, R461",0201,2,10k,
SW461,B3U-1000P,1,SW_Push,
U201,NPM1300-QEAA-R,1,NPM1300-QEAA-R,
U401,Nordic_AQFN-73-1EP_7x7mm_P0.5mm,1,nRF52840-QIAA-aQFN73,
Y401,830108161301_1.6x1.2mm,1,830108161301,
