Designator,Mid X,Mid Y,Rotation,Layer
C201,16.5775,-14.9,90.0,top
C202,17.6775,-4.65,0.0,top
C203,14.9525,-4.71,180.0,top
C204,15.5,-14.1,270.0,top
C205,17.3775,-13.01,270.0,top
C206,13.4,-13.6,225.0,top
C207,19.4775,-5.9,270.0,top
C208,15.5775,-2.6,180.0,top
C401,8.243952,-2.943952,45.0,bottom
C402,9.2,-3.9,225.0,bottom
C403,6.1,-6.443952,225.0,top
C404,4.8,-5.2,225.0,top
C405,12.65,-11.15,225.0,bottom
C406,10.1,-14.35,180.0,bottom
C407,5.15,-12.65,270.0,bottom
C408,3.25,-10.85,270.0,bottom
C409,6.3,-8.05,315.0,top
C410,7.610589,-8.2,315.0,top
C411,8.43198,-5.526861,135.0,top
C412,9.5,-5.15,135.0,bottom
C414,13.3,-10.65,225.0,bottom
C415,13.14,-8.72,180.0,bottom
C416,12.92,-7.95,180.0,bottom
C420,7.65,-11.35,90.0,top
C421,8.85,-12.25,90.0,top
C461,10.97,-14.5,90.0,top
D201,13.0,-1.3,270.0,top
D202,14.0,-1.3,270.0,top
D203,15.0,-1.3,270.0,top
J1,4.05,-20.0,180.0,top
J101,10.0,-17.2,0.0,bottom
J2,2.7,-2.51,45.0,top
L201,18.3775,-3.55,180.0,top
L202,15.5775,-3.5,180.0,top
L401,5.7,-5.6,315.0,top
L402,9.810589,-8.960589,135.0,top
L403,8.210589,-7.360589,135.0,top
R203,13.1,-12.1,270.0,top
R204,12.5,-12.12,270.0,top
R205,13.965,-9.45,180.0,bottom
R461,9.69,-14.5,180.0,top
SW461,9.7,-16.999999,90.0,top
U201,16.069566,-8.679527,270.0,top
U401,8.078427,-9.768502,45.0,bottom
Y401,9.393935,-2.628249,315.0,bottom
